medinc,GEOID
146500,06013340002
129821,06013341000
110611,06013343001
103043,06013343002
149808,06013343003
146250,06013345101
144464,06013345102
136857,06013345103
140815,06013345105
125716,06013345108
134706,06013345111
120000,06013345112
169871,06013345113
141923,06013345114
198958,06013345115
185195,06013345116
125775,06013345202
133256,06013345203
213438,06013345204
155426,06013346101
246723,06013346102
169063,06013346201
144766,06013346203
193462,06013346204
180970,06013347000
207167,06013348000
117750,06013349000
126027,06013350000
63819,06013351101
48327,06013351102
80938,06013351103
213945,06013351200
185962,06013352101
193274,06013352102
117622,06013352201
123571,06013352202
219038,06013353001
213125,06013353002
166518,06013354001
244894,06013354002
104821,06013355107
106016,06013355108
107289,06013355109
81484,06013355110
95673,06013355111
190635,06013355112
205385,06013355113
194387,06013355114
117417,06013355115
195074,06013355116
250001,06013355117
112352,06013355200
124402,06013355301
220824,06013355302
144928,06013355304
126481,06013355306
100292,06013356001
144514,06013356002
88611,06013357000
62589,06013358000
87609,06013359102
81481,06013359103
73526,06013359104
126944,06013359105
103144,06013359202
104823,06013359203
112031,06013359204
87778,06013360101
115865,06013360102
80325,06013360200
81992,06013361000
80294,06013362000
83161,06013363000
72047,06013364002
50833,06013365002
64762,06013365003
59863,06013366001
55472,06013366002
52482,06013367100
55200,06013367200
50385,06013368001
46833,06013368002
40979,06013369001
57875,06013369002
94896,06013370000
80056,06013371000
65313,06013372000
52944,06013373000
53590,06013374000
58466,06013375000
39319,06013376000
37332,06013377000
98785,06013378000
43311,06013379000
81530,06013380000
47907,06013381000
42477,06013382000
78246,06013383000
104978,06013384000
136607,06013385100
130438,06013385200
59112,06013386000
69659,06013387000
93889,06013388000
100982,06013389100
65048,06013389200
148250,06013390100
116635,06013390200
143750,06013391000
136806,06013392000
82976,06013392200
155096,06013392300
NA,06013990000
26409,06015000101
37770,06015000102
30901,06015000104
57019,06015000105
61075,06015000201
53547,06015000202
36125,06015000203
NA,06015990000
55975,06017030200
51648,06017030301
36346,06017030302
72042,06017030401
45495,06017030402
99570,06017030502
79792,06017030504
68302,06017030505
88636,06017030601
69982,06017030602
57452,06017030603
128484,06017030701
112156,06017030704
121429,06017030706
144479,06017030709
147847,06017030710
101891,06017030801
79281,06017030803
110771,06017030804
100117,06017030807
95250,06017030808
78417,06017030809
61680,06017030810
86500,06017030901
107364,06017030902
63750,06017031000
62708,06017031100
63717,06017031200
85962,06017031301
40379,06017031302
53214,06017031402
79554,06017031404
75433,06017031405
80455,06017031406
58924,06017031502
73702,06017031503
61802,06017031504
39884,06017031600
161154,06017031700
158701,06017031800
70000,06017031900
74074,06017032000
NA,06017990000
14750,06019000100
25139,06019000200
32785,06019000300
33315,06019000400
23750,06019000501
35380,06019000502
21263,06019000600
21688,06019000700
21492,06019000800
24250,06019000901
20271,06019000902
27083,06019001000
36250,06019001100
39314,06019001201
38255,06019001202
26931,06019001301
33194,06019001303
27111,06019001304
23725,06019001407
17744,06019001408
93542,06019001409
65711,06019001410
50033,06019001411
63182,06019001412
88981,06019001413
82946,06019001414
41321,06019001500
45531,06019001600
57955,06019001700
49730,06019001800
50458,06019001900
22428,06019002000
38080,06019002100
37917,06019002200
28304,06019002300
21854,06019002400
26611,06019002501
18571,06019002502
32297,06019002601
48000,06019002602
27472,06019002701
23886,06019002702
23065,06019002800
23495,06019002903
35524,06019002904
33179,06019002905
43844,06019002906
40129,06019003001
32969,06019003003
49712,06019003004
41110,06019003102
34512,06019003103
50455,06019003104
49842,06019003201
24588,06019003202
33118,06019003301
29750,06019003302
32013,06019003400
43587,06019003500
67396,06019003600
40740,06019003701
39500,06019003702
71250,06019003803
62594,06019003804
34006,06019003805
34063,06019003807
60906,06019003808
47568,06019003809
66651,06019003810
47125,06019003900
53672,06019004001
40116,06019004002
50833,06019004100
46526,06019004205
76750,06019004207
86763,06019004208
50323,06019004210
59719,06019004211
45665,06019004212
66121,06019004213
74864,06019004214
74831,06019004215
78417,06019004216
139207,06019004301
90568,06019004302
96646,06019004303
33715,06019004404
116116,06019004405
52480,06019004406
75400,06019004408
53333,06019004409
58911,06019004503
40567,06019004504
38750,06019004505
78438,06019004506
67434,06019004601
84878,06019004602
37679,06019004701
40461,06019004703
21913,06019004704
34571,06019004801
26864,06019004802
47607,06019004901
66300,06019004902
51594,06019005000
33323,06019005100
23750,06019005202
38227,06019005203
36638,06019005204
44138,06019005301
37882,06019005302
35348,06019005304
52083,06019005305
23864,06019005403
72094,06019005405
65927,06019005406
68013,06019005407
15078,06019005408
34420,06019005409
54342,06019005410
92143,06019005503
84293,06019005504
110547,06019005505
96759,06019005507
94483,06019005508
70368,06019005509
61566,06019005510
95625,06019005512
107609,06019005513
101179,06019005514
90167,06019005515
87044,06019005516
119063,06019005517
109931,06019005518
131458,06019005520
125484,06019005522
136286,06019005524
112120,06019005525
38337,06019005602
96458,06019005605
76531,06019005606
40728,06019005607
41821,06019005608
43517,06019005701
71708,06019005702
88036,06019005703
53514,06019005704
58904,06019005801
124250,06019005802
62561,06019005804
93125,06019005805
87455,06019005904
120137,06019005905
85263,06019005906
91793,06019005907
111908,06019005909
97763,06019005911
99167,06019005912
50852,06019006000
43559,06019006100
29536,06019006201
44587,06019006202
66972,06019006300
72925,06019006402
67417,06019006403
102431,06019006404
72500,06019006405
27528,06019006501
25038,06019006502
37813,06019006602
47109,06019006603
40326,06019006604
51672,06019006700
32536,06019006802
34107,06019006900
37018,06019007002
52540,06019007003
59966,06019007004
33573,06019007100
64570,06019007201
63234,06019007202
53491,06019007300
42019,06019007400
43036,06019007500
42714,06019007600
52055,06019007700
41082,06019007801
21732,06019007802
NA,06019007901
54784,06019007902
67434,06019008000
54258,06019008100
35368,06019008200
27386,06019008301
33657,06019008302
41199,06019008401
46250,06019008402
30759,06019008501
34358,06019008502
44549,06021010100
52821,06021010200
45734,06021010300
45242,06021010400
46008,06021010501
58235,06021010502
27259,06023000100
42818,06023000200
43294,06023000300
43375,06023000400
30781,06023000500
59063,06023000600
58750,06023000700
61304,06023000800
61656,06023000900
24250,06023001000
37571,06023001101
44531,06023001200
39107,06023001300
41938,06023010102
48454,06023010200
51089,06023010300
57926,06023010400
52420,06023010501
47282,06023010502
71875,06023010600
57042,06023010700
46250,06023010800
41765,06023010901
51699,06023010902
50687,06023011000
37697,06023011100
50594,06023011200
60351,06023011500
31729,06023011600
36830,06023940000
NA,06023990100
2499,06025010101
32669,06025010102
37760,06025010200
61250,06025010300
25212,06025010400
43651,06025010500
73750,06025010600
33225,06025010700
76875,06025010800
46884,06025010900
80568,06025011000
34875,06025011100
